__run_id,__done,data_type,avg_cpu,total_energy,,,,,,,,,,,
run_32,DONE,txt-small-low-33, , ,"{0: '2023-10-05 13:37:22', 1: '2023-10-05 13:37:23'}","{0: 0.235, 1: 0.25765}","{0: 3.35128, 1: 3.454}","{0: 3.35128, 1: 3.454}","{0: 0.0, 1: 0.0}","{0: 1.7477235560683333, 1: 1.7477235560683333}","{0: 1.0, 1: 1.0}","{0: 3861.9052734375, 1: 3861.9052734375}","{0: 6.80528, 1: 6.80528}","{0: 0.246325, 1: 0.246325}","{0: 2303.812481202917, 1: 2303.812481202917}"
run_33,DONE,txt-small-low-34, , ,"{0: '2023-10-05 13:37:26', 1: '2023-10-05 13:37:27'}","{0: 0.39796, 1: 0.2525}","{0: 4.09021, 1: 3.43064}","{0: 4.09021, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.727937636905811, 1: 1.727937636905811}","{0: 1.0, 1: 1.0}","{0: 3718.443359375, 1: 3718.443359375}","{0: 7.520849999999999, 1: 7.520849999999999}","{0: 0.32523, 1: 0.32523}","{0: 1520.2102080720308, 1: 1520.2102080720308}"
run_34,DONE,txt-small-low-35, , ,"{0: '2023-10-05 13:37:30', 1: '2023-10-05 13:37:31'}","{0: 0.2425, 1: 0.25}","{0: 3.38529, 1: 3.4193}","{0: 3.38529, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7468344968767149, 1: 1.7468344968767149}","{0: 1.0, 1: 1.0}","{0: 3424.83203125, 1: 3424.83203125}","{0: 6.804589999999999, 1: 6.804589999999999}","{0: 0.24625, 1: 0.24625}","{0: 2043.9067357512183, 1: 2043.9067357512183}"
run_35,DONE,txt-small-low-36, , ,"{0: '2023-10-05 13:37:33', 1: '2023-10-05 13:37:34'}","{0: 0.23958, 1: 0.25}","{0: 3.37207, 1: 3.4193}","{0: 3.37207, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7480654974637728, 1: 1.7480654974637728}","{0: 1.0, 1: 1.0}","{0: 3939.943359375, 1: 3939.943359375}","{0: 6.79137, 1: 6.79137}","{0: 0.24479, 1: 0.24479}","{0: 2369.948530308293, 1: 2369.948530308293}"
run_36,DONE,txt-small-low-37, , ,"{0: '2023-10-05 13:37:37', 1: '2023-10-05 13:37:38'}","{0: 0.24235, 1: 0.25}","{0: 3.3846, 1: 3.4193}","{0: 3.3846, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7476292855998536, 1: 1.7476292855998536}","{0: 1.0, 1: 1.0}","{0: 3796.2578125, 1: 3796.2578125}","{0: 6.8039, 1: 6.8039}","{0: 0.246175, 1: 0.246175}","{0: 2266.4901194152453, 1: 2266.4901194152453}"
run_37,DONE,txt-small-low-38, , ,"{0: '2023-10-05 13:37:41', 1: '2023-10-05 13:37:42'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.744383569403953, 1: 1.744383569403953}","{0: 1.0, 1: 1.0}","{0: 3593.0537109375, 1: 3593.0537109375}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2160.011913984415, 1: 2160.011913984415}"
run_38,DONE,txt-small-low-39, , ,"{0: '2023-10-05 13:37:45', 1: '2023-10-05 13:37:46'}","{0: 0.2398, 1: 0.2475}","{0: 3.37303, 1: 3.40796}","{0: 3.37303, 1: 3.40796}","{0: 0.0, 1: 0.0}","{0: 1.7502292462236821, 1: 1.7502292462236821}","{0: 1.0, 1: 1.0}","{0: 3182.3076171875, 1: 3182.3076171875}","{0: 6.78099, 1: 6.78099}","{0: 0.24365, 1: 0.24365}","{0: 1926.1168861906422, 1: 1926.1168861906422}"
run_39,DONE,txt-small-low-40, , ,"{0: '2023-10-05 13:37:48', 1: '2023-10-05 13:37:49'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.75167989532372, 1: 1.75167989532372}","{0: 1.0, 1: 1.0}","{0: 3361.603515625, 1: 3361.603515625}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2020.872557996726, 1: 2020.872557996726}"
run_40,DONE,txt-small-low-41, , ,"{0: '2023-10-05 13:37:52', 1: '2023-10-05 13:37:53'}","{0: 0.23724, 1: 0.25}","{0: 3.36146, 1: 3.4193}","{0: 3.36146, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7440662281150454, 1: 1.7440662281150454}","{0: 1.0, 1: 1.0}","{0: 3416.375, 1: 3416.375}","{0: 6.78076, 1: 6.78076}","{0: 0.24362, 1: 0.24362}","{0: 2068.1128029996844, 1: 2068.1128029996844}"
run_41,DONE,txt-small-low-42, , ,"{0: '2023-10-05 13:37:55', 1: '2023-10-05 13:37:56'}","{0: 0.24479, 1: 0.2551}","{0: 3.39568, 1: 3.44243}","{0: 3.39568, 1: 3.44243}","{0: 0.0, 1: 0.0}","{0: 1.748658902101917, 1: 1.748658902101917}","{0: 1.0, 1: 1.0}","{0: 3188.6376953125, 1: 3188.6376953125}","{0: 6.83811, 1: 6.83811}","{0: 0.249945, 1: 0.249945}","{0: 1865.6262329617352, 1: 1865.6262329617352}"
