__run_id,__done,data_type,avg_cpu,total_energy,,,,,,,,,,,
run_36,DONE,txt-small-low-37, , ,"{0: '2023-10-04 20:50:40', 1: '2023-10-04 20:50:41'}","{0: 0.21543, 1: 0.25}","{0: 3.26252, 1: 3.4193}","{0: 3.26252, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7476292855998536, 1: 1.7476292855998536}","{0: 1.0, 1: 1.0}","{0: 3796.2578125, 1: 3796.2578125}","{0: 6.68182, 1: 6.68182}","{0: 0.232715, 1: 0.232715}","{0: 2441.3865591955437, 1: 2441.3865591955437}"
run_37,DONE,txt-small-low-38, , ,"{0: '2023-10-04 20:50:44', 1: '2023-10-04 20:50:45'}","{0: 0.2375, 1: 0.25255}","{0: 3.36262, 1: 3.43087}","{0: 3.36262, 1: 3.43087}","{0: 0.0, 1: 0.0}","{0: 1.744383569403953, 1: 1.744383569403953}","{0: 1.0, 1: 1.0}","{0: 3593.0537109375, 1: 3593.0537109375}","{0: 6.79349, 1: 6.79349}","{0: 0.245025, 1: 0.245025}","{0: 2158.5413419719966, 1: 2158.5413419719966}"
run_38,DONE,txt-small-low-39, , ,"{0: '2023-10-04 20:50:47', 1: '2023-10-04 20:50:48'}","{0: 0.23438, 1: 0.2525}","{0: 3.34845, 1: 3.43064}","{0: 3.34845, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7502292462236821, 1: 1.7502292462236821}","{0: 1.0, 1: 1.0}","{0: 3182.3076171875, 1: 3182.3076171875}","{0: 6.77909, 1: 6.77909}","{0: 0.24344, 1: 0.24344}","{0: 1928.3187285139375, 1: 1928.3187285139375}"
run_39,DONE,txt-small-low-40, , ,"{0: '2023-10-04 20:50:51', 1: '2023-10-04 20:50:52'}","{0: 0.24219, 1: 0.2475}","{0: 3.38387, 1: 3.40796}","{0: 3.38387, 1: 3.40796}","{0: 0.0, 1: 0.0}","{0: 1.75167989532372, 1: 1.75167989532372}","{0: 1.0, 1: 1.0}","{0: 3361.603515625, 1: 3361.603515625}","{0: 6.79183, 1: 6.79183}","{0: 0.24484499999999998, 1: 0.24484499999999998}","{0: 2021.4753161942754, 1: 2021.4753161942754}"
run_40,DONE,txt-small-low-41, , ,"{0: '2023-10-04 20:50:54', 1: '2023-10-04 20:50:55'}","{0: 0.23469, 1: 0.25}","{0: 3.3499, 1: 3.4193}","{0: 3.3499, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7440662281150454, 1: 1.7440662281150454}","{0: 1.0, 1: 1.0}","{0: 3416.375, 1: 3416.375}","{0: 6.7692, 1: 6.7692}","{0: 0.242345, 1: 0.242345}","{0: 2082.5437101137827, 1: 2082.5437101137827}"
run_41,DONE,txt-small-low-42, , ,"{0: '2023-10-04 20:50:58', 1: '2023-10-04 20:50:59'}","{0: 0.24235, 1: 0.2525}","{0: 3.3846, 1: 3.43064}","{0: 3.3846, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.748658902101917, 1: 1.748658902101917}","{0: 1.0, 1: 1.0}","{0: 3188.6376953125, 1: 3188.6376953125}","{0: 6.815239999999999, 1: 6.815239999999999}","{0: 0.247425, 1: 0.247425}","{0: 1890.9517297819084, 1: 1890.9517297819084}"
run_42,DONE,txt-small-low-43, , ,"{0: '2023-10-04 20:51:01', 1: '2023-10-04 20:51:02'}","{0: 0.23724, 1: 0.25765}","{0: 3.36146, 1: 3.454}","{0: 3.36146, 1: 3.454}","{0: 0.0, 1: 0.0}","{0: 1.748000049218085, 1: 1.748000049218085}","{0: 1.0, 1: 1.0}","{0: 3918.1484375, 1: 3918.1484375}","{0: 6.81546, 1: 6.81546}","{0: 0.247445, 1: 0.247445}","{0: 2323.3092906597035, 1: 2323.3092906597035}"
run_43,DONE,txt-small-low-44, , ,"{0: '2023-10-04 20:51:05', 1: '2023-10-04 20:51:06'}","{0: 0.23724, 1: 0.25}","{0: 3.36146, 1: 3.4193}","{0: 3.36146, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7463326967278288, 1: 1.7463326967278288}","{0: 1.0, 1: 1.0}","{0: 4095.6376953125, 1: 4095.6376953125}","{0: 6.78076, 1: 6.78076}","{0: 0.24362, 1: 0.24362}","{0: 2479.3065029816403, 1: 2479.3065029816403}"
run_44,DONE,txt-small-low-45, , ,"{0: '2023-10-04 20:51:09', 1: '2023-10-04 20:51:10'}","{0: 0.23724, 1: 0.2525}","{0: 3.36146, 1: 3.43064}","{0: 3.36146, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7439992870629015, 1: 1.7439992870629015}","{0: 1.0, 1: 1.0}","{0: 3807.3974609375, 1: 3807.3974609375}","{0: 6.7921, 1: 6.7921}","{0: 0.24487, 1: 0.24487}","{0: 2289.225438792106, 1: 2289.225438792106}"
run_45,DONE,txt-small-low-46, , ,"{0: '2023-10-04 20:51:13', 1: '2023-10-04 20:51:14'}","{0: 0.2398, 1: 0.2525}","{0: 3.37303, 1: 3.43064}","{0: 3.37303, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7517638834477471, 1: 1.7517638834477471}","{0: 1.0, 1: 1.0}","{0: 4042.119140625, 1: 4042.119140625}","{0: 6.80367, 1: 6.80367}","{0: 0.24615, 1: 0.24615}","{0: 2413.6040684845743, 1: 2413.6040684845743}"
run_46,DONE,txt-small-low-47, , ,"{0: '2023-10-04 20:51:17', 1: '2023-10-04 20:51:18'}","{0: 0.24235, 1: 0.2475}","{0: 3.3846, 1: 3.40796}","{0: 3.3846, 1: 3.40796}","{0: 0.0, 1: 0.0}","{0: 1.7521947118539973, 1: 1.7521947118539973}","{0: 1.0, 1: 1.0}","{0: 4286.6416015625, 1: 4286.6416015625}","{0: 6.79256, 1: 6.79256}","{0: 0.244925, 1: 0.244925}","{0: 2576.621191911384, 1: 2576.621191911384}"
run_47,DONE,txt-small-low-48, , ,"{0: '2023-10-04 20:51:21', 1: '2023-10-04 20:51:22'}","{0: 0.24235, 1: 0.25}","{0: 3.3846, 1: 3.4193}","{0: 3.3846, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.751839113845278, 1: 1.751839113845278}","{0: 1.0, 1: 1.0}","{0: 4292.25390625, 1: 4292.25390625}","{0: 6.8039, 1: 6.8039}","{0: 0.246175, 1: 0.246175}","{0: 2562.6160153044443, 1: 2562.6160153044443}"
run_48,DONE,txt-small-low-49, , ,"{0: '2023-10-04 20:51:25', 1: '2023-10-04 20:51:26'}","{0: 0.2398, 1: 0.2575}","{0: 3.37303, 1: 3.45331}","{0: 3.37303, 1: 3.45331}","{0: 0.0, 1: 0.0}","{0: 1.749584177314486, 1: 1.749584177314486}","{0: 1.0, 1: 1.0}","{0: 3140.1201171875, 1: 3140.1201171875}","{0: 6.82634, 1: 6.82634}","{0: 0.24865, 1: 0.24865}","{0: 1849.9921356764312, 1: 1849.9921356764312}"
run_49,DONE,txt-small-low-50, , ,"{0: '2023-10-04 20:51:29', 1: '2023-10-04 20:51:30'}","{0: 0.23214, 1: 0.27296}","{0: 3.33833, 1: 3.52341}","{0: 3.33833, 1: 3.52341}","{0: 0.0, 1: 0.0}","{0: 1.7487531462080543, 1: 1.7487531462080543}","{0: 1.0, 1: 1.0}","{0: 4086.896484375, 1: 4086.896484375}","{0: 6.86174, 1: 6.86174}","{0: 0.25255, 1: 0.25255}","{0: 2358.370353693714, 1: 2358.370353693714}"
run_50,DONE,txt-small-high-1, , ,"{0: '2023-10-04 20:51:33', 1: '2023-10-04 20:51:34'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.6898582842873233, 1: 1.6898582842873233}","{0: 1.0, 1: 1.0}","{0: 3993.8193359375, 1: 3993.8193359375}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2400.9374871480686, 1: 2400.9374871480686}"
