,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
2802,lzw-jpg-large-low-21,1.183674921409963,42.0,4951.33203125,149.93377999999998,0.2648930232558139,124.6671526444571
2803,lzw-jpg-large-low-22,1.1787983809131388,42.0,4630.880859375,148.01738999999998,0.2550644186046512,122.65944264389334
2804,lzw-jpg-large-low-23,1.1813104521900772,42.0,4797.205078125,148.63158,0.2582144186046511,124.99616848862809
2805,lzw-jpg-large-low-24,1.183492426581484,43.0,4993.48046875,151.02616,0.2528915909090909,130.74250053472144
2806,lzw-jpg-large-low-25,1.1775879678913057,43.0,4598.416015625,149.40589,0.244770909090909,125.74210871840437
2807,lzw-jpg-large-low-26,1.1761517806131276,41.0,4418.8369140625,143.86744,0.2513483333333333,122.19950530707452
2808,lzw-jpg-large-low-27,1.1792635840692662,42.0,4647.298828125,146.96889999999996,0.249686976744186,126.64243859593653
2809,lzw-jpg-large-low-28,1.1755976075903236,40.0,4418.490234375,140.91752,0.2539060975609756,123.49113363563508
2810,lzw-jpg-large-low-29,1.1778702703371224,42.0,4606.703125,147.62229,0.2530379069767441,123.32544770297304
2811,lzw-jpg-large-low-30,1.176188617953143,40.0,4445.3310546875,141.05494000000002,0.2546451219512194,123.76004192482873
2812,lzw-jpg-large-low-31,1.1873504658234948,45.0,5313.17578125,154.51366999999996,0.2531617777777777,135.8279479710478
2813,lzw-jpg-large-low-32,1.187043487695297,42.0,4993.4462890625,147.43520999999998,0.2520786046511628,134.35789278929616
2814,lzw-jpg-large-low-33,1.1781669172188445,41.0,4607.5478515625,143.85762,0.2512969047619047,127.45293587274972
2815,lzw-jpg-large-low-34,1.1896413557504106,45.0,5315.32421875,158.32319,0.2549636956521739,131.67607816536162
2816,lzw-jpg-large-low-35,1.191573771136106,45.0,5597.8798828125,158.41141,0.2553867391304347,138.36899060615775
2817,lzw-jpg-large-low-36,1.1793036936430512,42.0,4724.7587890625,147.16020999999998,0.2506681395348837,128.08259116943455
2818,lzw-jpg-large-low-37,1.1781242352194337,43.0,4691.1591796875,150.80481,0.2517822727272727,123.54916835603044
2819,lzw-jpg-large-low-38,1.1809847297631146,41.0,4728.927734375,143.46929999999998,0.2492580952380952,132.23743786017496
2820,lzw-jpg-large-low-39,1.175150221029927,41.0,4472.3408203125,143.19532999999998,0.2478192857142857,126.02912950729748
2821,lzw-jpg-large-low-40,1.1749196509791415,40.0,4438.078125,140.97302,0.2542046341463415,123.84414408666152
2822,lzw-jpg-large-low-41,1.1880258071426877,43.0,5170.0185546875,151.15051,0.2535147727272727,134.92089498886716
