,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
86,huffman-jpg-small-low-7,1.0003788592018912,22.0,24.087890625,78.65152,0.2500730434782608,1.2246860494198022
87,huffman-jpg-small-low-8,1.0004337452510024,22.0,28.1240234375,79.09268999999999,0.2543043478260869,1.3982580212380848
88,huffman-jpg-small-low-9,1.0004221893467866,22.0,27.376953125,78.7023,0.2505604347826087,1.388305978867911
89,huffman-jpg-small-low-10,1.0003773942242864,21.0,23.1806640625,75.60013,0.2537645454545454,1.2082933520124306
90,huffman-jpg-small-high-1,1.0001326633943968,21.0,8.2861328125,75.38821999999999,0.2516409090909091,0.4367844365936368
91,huffman-jpg-small-high-2,1.000139029600314,19.0,8.068359375,68.45094,0.2507169999999999,0.470134405528801
92,huffman-jpg-small-high-3,1.0001611569462947,19.0,8.9970703125,68.81733,0.2547565,0.5131898074301748
93,huffman-jpg-small-high-4,1.0001282306532528,23.0,8.0244140625,75.60094,0.2537731818181818,0.4182542955985824
94,huffman-jpg-small-high-5,1.0001443646667447,22.0,9.18359375,79.00918,0.2535034782608695,0.4585125072222161
95,huffman-jpg-small-high-6,1.0001227983387546,20.0,7.234375,71.84577,0.2504247619047619,0.4020893255585163
96,huffman-jpg-small-high-7,1.0001226183803107,22.0,7.91796875,78.71724999999999,0.2507034782608695,0.4012208655080366
97,huffman-jpg-small-high-8,1.0001260095351594,21.0,7.2119140625,75.98217,0.2575945454545454,0.3684700453637408
98,huffman-jpg-small-high-9,1.0001560798897131,19.0,8.7021484375,68.4074,0.2502355,0.5083636406808544
99,huffman-jpg-small-high-10,1.000144472991373,20.0,8.6572265625,72.36699,0.2558995238095238,0.4674862013020996
100,huffman-jpg-large-low-1,1.00050319330702,61.0,85.0263671875,212.99756,0.2535603225806452,1.5743369912435248
101,huffman-jpg-large-low-2,1.0005320254797172,61.0,85.8671875,200.81348,0.2594836206896551,1.6478756131953995
102,huffman-jpg-large-low-3,1.0004404774609312,55.0,66.3984375,185.9619,0.2553894444444444,1.398076518113452
103,huffman-jpg-large-low-4,1.0003886586089892,50.0,54.970703125,175.48708000000002,0.2547690196078431,1.229531128868884
104,huffman-jpg-large-low-5,1.0004048662495055,58.0,61.029296875,192.47358,0.25391,1.2487843191722114
105,huffman-jpg-large-low-6,1.0004041259141587,53.0,59.396484375,183.68232,0.2602337735849057,1.242595351962105
106,huffman-jpg-large-low-7,1.0003850006605663,54.0,58.6220703125,189.25886,0.254802,1.2156319324431395
107,huffman-jpg-large-low-8,1.0004470431427732,64.0,77.6982421875,214.51979000000003,0.2589751612903226,1.398574862924486
108,huffman-jpg-large-low-9,1.0004857924657466,63.0,81.2841796875,213.15303,0.2541137096774194,1.5006742147477654
109,huffman-jpg-large-low-10,1.0005375489565698,69.0,91.5537109375,231.79853,0.258905671641791,1.52554039002701
110,huffman-jpg-large-high-1,1.0002807819993322,91.0,69.9423828125,310.21547000000004,0.2560731111111111,0.8804668198013218
111,huffman-jpg-large-high-2,1.0002859056722977,92.0,70.8251953125,310.72083000000003,0.2573121111111111,0.8858438706593764
112,huffman-jpg-large-high-3,1.0002763263751528,89.0,64.6845703125,299.93114,0.2562157471264367,0.8417309983466914
113,huffman-jpg-large-high-4,1.0003004474676849,86.0,69.75390625,289.9804,0.2572440476190477,0.9350924582726524
114,huffman-jpg-large-high-5,1.0002704882771734,91.0,65.009765625,298.10956,0.2603853488372093,0.8375025783564166
115,huffman-jpg-large-high-6,1.0002875434271337,94.0,74.6845703125,321.6186600000001,0.2585937634408602,0.8979902097387676
116,huffman-jpg-large-high-7,1.000265849740073,87.0,62.28125,293.21482,0.2566796470588235,0.8275228027644252
117,huffman-jpg-large-high-8,1.0002812354320223,90.0,67.9853515625,301.12893999999994,0.2592521839080459,0.8708441299866714
118,huffman-jpg-large-high-9,1.0002713487996635,83.0,60.7451171875,284.3623100000001,0.2514890361445783,0.8494157007064291
119,huffman-jpg-large-high-10,1.000292629168419,87.0,71.3203125,296.05192,0.2551089534883721,0.9443210142194678
120,huffman-png-small-low-1,1.0002708298541427,42.0,32.8779296875,148.97867,0.2599948837209302,0.8488199292095385
121,huffman-png-small-low-2,1.000209590244269,32.0,19.85546875,113.89385,0.2570639393939393,0.6781702152013158
