,Unnamed: 0,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency,size,entropy
2819,2819,huffman-jpg-large-high-5,1.000276616370117,15.0,13.08984375,56.79751,0.278790625,0.8266601458857585,47334.380859375,7.989482315186718
2820,2820,huffman-jpg-large-high-6,1.00025181775648,16.0,12.19140625,58.18594,0.25075,0.8355930264749755,48425.7998046875,7.989800479226157
2821,2821,huffman-jpg-large-high-7,1.0002541593411494,16.0,12.6044921875,58.178250000000006,0.250650588235294,0.8643626090010263,49605.478515625,7.989882281299093
2822,2822,huffman-jpg-large-high-8,1.000274296939191,17.0,13.9560546875,63.81923,0.2778344444444445,0.7870911265910552,50893.3232421875,7.989704300599966
2823,2823,huffman-jpg-large-high-9,1.0002498961818125,15.0,11.3935546875,54.67478,0.2495312499999999,0.8351168661858241,45604.5458984375,7.989433962845283
2824,2824,huffman-jpg-large-high-10,1.0002897416279326,16.0,13.9384765625,58.22835,0.2513005882352941,0.9525489884676196,48120.5107421875,7.98924547000755
2825,2825,huffman-jpg-large-high-11,1.0002521550220531,16.0,11.802734375,59.94096,0.2735170588235294,0.7199038916601409,46819.255859375,7.989347528340654
2826,2826,huffman-jpg-large-high-12,1.0003087691288417,16.0,14.7978515625,58.19634,0.2508852941176471,1.0135094178066797,47940.0927734375,7.989675677890739
2827,2827,huffman-jpg-large-high-13,1.0002480790999957,17.0,12.9404296875,61.52472,0.2497222222222221,0.8422516306498027,52175.455078125,7.990074205317192
2828,2828,huffman-jpg-large-high-14,1.0002272121713385,15.0,10.4287109375,55.95553,0.267184375,0.6975519535220687,45908.986328125,7.989724195736665
2829,2829,huffman-jpg-large-high-15,1.000301247605126,16.0,14.1865234375,57.82332,0.2460464705882352,0.9971392615484445,47106.7548828125,7.989351749934126
2830,2830,huffman-jpg-large-high-16,1.0002178208165975,15.0,10.255859375,54.71992,0.250153125,0.7492395095846174,47094.1826171875,7.989644093824583
2831,2831,huffman-jpg-large-high-17,1.0002855658792935,16.0,14.005859375,59.46828000000001,0.2673858823529412,0.8808174514259892,49059.9892578125,7.990040404305908
2832,2832,huffman-jpg-large-high-18,1.000261873451204,15.0,11.9267578125,55.50509,0.2609749999999999,0.8233617413171198,45555.9013671875,7.9897585552868104
2833,2833,huffman-jpg-large-high-19,1.0002570397136443,15.0,11.8212890625,54.81847,0.251511875,0.8573920103425438,46001.9482421875,7.989824840245103
2834,2834,huffman-jpg-large-high-20,1.0002968035368354,16.0,14.8154296875,58.12858,0.2500058823529412,1.019469672051616,49931.4365234375,7.989840935505788
2835,2835,huffman-jpg-large-high-21,1.0002784505801734,15.0,12.6689453125,55.91161,0.266579375,0.8499862844142936,45510.671875,7.989783147123454
2836,2836,huffman-jpg-large-high-22,1.000254246442788,16.0,12.48046875,58.945,0.2605970588235294,0.8124832479611588,49100.556640625,7.990255522426641
2837,2837,huffman-jpg-large-high-23,1.0002941508706489,16.0,14.2890625,58.10496,0.2496999999999999,0.9848543033827863,48591.6142578125,7.989580605085199
2838,2838,huffman-jpg-large-high-24,1.000266617923816,15.0,11.9326171875,55.34317,0.25874375,0.8333008188187633,44767.427734375,7.989770706206583
2839,2839,huffman-jpg-large-high-25,1.000263373474307,17.0,13.36328125,61.53607999999999,0.2498611111111111,0.8691297477448066,50752.2666015625,7.989739156004179
2840,2840,huffman-jpg-large-high-26,1.0002821463432137,16.0,13.76171875,58.10520999999999,0.2497029411764706,0.948492595638509,48788.87109375,7.989819361337238
2841,2841,huffman-jpg-large-high-27,1.00027907354028,15.0,12.3505859375,55.08314,0.2551593749999999,0.878733823212657,44268.0185546875,7.989381482867248
2842,2842,huffman-jpg-large-high-28,1.0002887915821588,17.0,14.380859375,61.63808,0.2511111111111111,0.9291157189757814,49811.0517578125,7.989683195614236
2843,2843,huffman-jpg-large-high-29,1.0002950487604985,17.0,15.0478515625,61.54671,0.2499916666666666,0.9780118660622138,51016.2841796875,7.989332906975877
2844,2844,huffman-jpg-large-high-30,1.0002296422963677,15.0,10.568359375,55.13909,0.25593125,0.7489014315789065,46031.5302734375,7.990182847786557
2845,2845,huffman-jpg-large-high-31,1.0002479430852451,16.0,11.76171875,58.11699,0.2498558823529411,0.8099870929871505,47448.93359375,7.989985178920897
2846,2846,huffman-jpg-large-high-32,1.0002921329374126,16.0,14.0400390625,58.10518999999999,0.2497029411764705,0.9676754712756191,48074.4853515625,7.989860275707026
2847,2847,huffman-jpg-large-high-33,1.000305129647303,16.0,14.3095703125,58.64930999999999,0.2567617647058823,0.9502400570265088,46910.9990234375,7.9900664951944105
2848,2848,huffman-jpg-large-high-34,1.0002504636050362,17.0,12.953125,61.53722,0.2498749999999999,0.8423913074007049,51729.548828125,7.990273836248027
2849,2849,huffman-jpg-large-high-35,1.000246440921543,15.0,11.5751953125,54.69769,0.249846875,0.8470039202604124,46981.0283203125,7.990076553114681
2850,2850,huffman-jpg-large-high-36,1.0002706813380355,16.0,13.4453125,58.10474,0.2496970588235293,0.9267144003634088,49685.552734375,7.989438670227675
2851,2851,huffman-jpg-large-high-37,1.000289224939274,16.0,14.2333984375,58.16165,0.2504352941176471,0.977184014234166,49226.443359375,7.990222634903995
2852,2852,huffman-jpg-large-high-38,1.0002747310452798,15.0,12.54296875,54.69747,0.2498437499999999,0.9178349936938645,45667.990234375,7.989417110206513
2853,2853,huffman-jpg-large-high-39,1.0002843408476725,17.0,14.30859375,61.59157999999999,0.2505416666666666,0.9272474466510612,50336.2861328125,7.989926230035613
2854,2854,huffman-jpg-large-high-40,1.0002695482349322,16.0,12.7705078125,58.62944,0.2565035294117646,0.8491786679646603,47390.2197265625,7.989478124638382
2855,2855,huffman-jpg-large-high-41,1.000241608557576,16.0,11.7841796875,58.10543,0.2497058823529412,0.8121829410988473,48785.634765625,7.989722897099286
2856,2856,huffman-jpg-large-high-42,1.0002862668218466,16.0,13.7080078125,58.15283,0.2503205882352941,0.9416877439217228,47899.130859375,7.9892988618906635
2857,2857,huffman-jpg-large-high-43,1.0002310618186143,16.0,11.6025390625,58.68334,0.2572029411764706,0.7687095644290697,50225.6064453125,7.989992054826851
2858,2858,huffman-jpg-large-high-44,1.0002992893783444,17.0,15.1796875,60.86440999999999,0.2416322222222222,1.032154158109634,50734.2783203125,7.989651918540212
2859,2859,huffman-jpg-large-high-45,1.000283863023733,16.0,13.32421875,58.15077,0.2502941176470588,0.9154521337333212,46952.2265625,7.989515173658945
2860,2860,huffman-jpg-large-high-46,1.0002747743975346,14.0,12.12109375,51.83269,0.2579866666666666,0.906443628729652,44125.0146484375,7.989338540404384
2861,2861,huffman-jpg-large-high-47,1.0002500894841642,17.0,12.46875,61.547630000000005,0.2500027777777777,0.8103390145077994,49869.623046875,7.99021372119969
2862,2862,huffman-jpg-large-high-48,1.0002637186387675,18.0,13.3544921875,61.64966,0.2512527777777777,0.8621559320207651,50652.521484375,7.989835590946053
2863,2863,huffman-jpg-large-high-49,1.0002407999174514,16.0,11.7138671875,58.58131,0.2558794117647058,0.7814584161932082,48657.3583984375,7.989674010448617
2864,2864,huffman-jpg-large-high-50,1.000270646198612,16.0,13.0595703125,58.1517,0.2503058823529411,0.8972127088782861,48266.3525390625,7.989492651657761
2865,2865,huffman-png-small-low-1,1.0003038085711993,5.0,5.328125,20.52713,0.2504166666666667,1.0365325434949135,17543.0986328125,7.979894057737242
2866,2866,huffman-png-small-low-2,1.0003137963595905,5.0,5.93359375,20.52714,0.2504166666666667,1.154319770189819,18914.9921875,7.982184961949995
2867,2867,huffman-png-small-low-3,1.0008497772338436,5.0,14.6083984375,20.5852,0.2525516666666667,2.8099414828616966,17205.46484375,7.96954299140011
2868,2868,huffman-png-small-low-4,1.000313146510189,5.0,5.744140625,20.53871,0.2508416666666667,1.1149418646867442,18349.044921875,7.9784031849894
2869,2869,huffman-png-small-low-5,1.0002662166591307,5.0,5.1201171875,21.03819,0.2692,0.904058372460808,19238.015625,7.9804702039340265
2870,2870,huffman-png-small-low-6,1.0002056908861825,5.0,3.826171875,20.54981,0.25125,0.7410552592028542,18605.388671875,7.979658351743021
2871,2871,huffman-png-small-low-7,1.0003675658205848,5.0,6.3662109375,20.34034,0.24355,1.2850933681456431,17326.287109375,7.981155985359624
2872,2872,huffman-png-small-low-8,1.0001901611817752,5.0,3.3369140625,20.49312,0.2491666666666666,0.6535021139193385,17551.15625,7.981974697370644
2873,2873,huffman-png-small-low-9,1.0002790925476337,6.0,5.40234375,23.9351,0.25,0.9028320332900218,19362.220703125,7.979704952317329
2874,2874,huffman-png-small-low-10,1.0001315685764736,6.0,2.73046875,23.95777,0.2507142857142857,0.4545814801214197,20755.9287109375,7.98311793884765
2875,2875,huffman-png-small-low-11,1.000410666473323,5.0,7.7880859375,20.53847,0.2508333333333333,1.51174102021047,18972.2919921875,7.977194975079381
2876,2876,huffman-png-small-low-12,1.0003161256264472,5.0,5.724609375,20.9579,0.26625,1.0259081435492174,18114.3779296875,7.977588853295938
2877,2877,huffman-png-small-low-13,1.0007187863715536,5.0,13.3369140625,20.5498,0.25125,2.5831027564684628,18568.1044921875,7.972055999861562
2878,2878,huffman-png-small-low-14,1.0004272209152765,5.0,7.4091796875,20.53893,0.25085,1.438063976352429,17350.1455078125,7.979131078379528
2879,2879,huffman-png-small-low-15,1.0003440389527245,4.0,5.72265625,17.11918,0.251,1.3318060380717216,16639.4677734375,7.979527213833675
2880,2880,huffman-png-small-low-16,1.000307907215243,5.0,5.6728515625,20.55004,0.2512583333333333,1.0986725492344798,18429.572265625,7.978374501389109
2881,2881,huffman-png-small-low-17,1.0002751187807235,5.0,4.8984375,20.56115,0.2516666666666666,0.9466391746680106,17809.7080078125,7.976547082088967
2882,2882,huffman-png-small-low-18,1.0002411715309234,6.0,4.7294921875,23.99179,0.2517857142857143,0.7829261075920241,19615.220703125,7.981323894988013
2883,2883,huffman-png-small-low-19,1.000315148247482,5.0,5.8154296875,20.5498,0.25125,1.1263364512535474,18458.8125,7.978956215536192
2884,2884,huffman-png-small-low-20,1.000089936072292,5.0,1.6220703125,20.98058,0.2670833333333333,0.28947122438785,18037.4365234375,7.9820734760579
2885,2885,huffman-png-small-low-21,1.0000877522763418,5.0,1.68359375,20.52714,0.2504166666666667,0.3275258860775589,19187.439453125,7.980364257884402
2886,2886,huffman-png-small-low-22,1.0006021919116086,6.0,11.5947265625,23.95778,0.2507142857142857,1.9303446568905849,19265.7998046875,7.970029135745713
2887,2887,huffman-png-small-low-23,1.0001578928340384,5.0,3.0537109375,20.54981,0.25125,0.591444562411262,19343.4560546875,7.981266422180086
2888,2888,huffman-png-small-low-24,1.0001891426381664,4.0,3.1513671875,17.10783,0.2505,0.735353819492743,16664.4775390625,7.98255007653896
2889,2889,huffman-png-small-low-25,1.0001312202783297,5.0,2.42578125,20.53962,0.250875,0.4707624830065387,18488.7548828125,7.983392265217211
2890,2890,huffman-png-small-low-26,1.000255121093293,3.0,3.015625,13.6772,0.25,0.8819422103939404,11823.3828125,7.978143709064104
2891,2891,huffman-png-small-low-27,1.0004341981798452,4.0,6.6572265625,17.10852,0.25053,1.5531777381397909,15338.8876953125,7.976366416039728
2892,2892,huffman-png-small-low-28,1.0003698431443728,4.0,5.708984375,17.651980000000002,0.2745,1.17821101575996,15441.9404296875,7.979489448157962
2893,2893,huffman-png-small-low-29,1.000135428729321,3.0,1.8671875,13.6772,0.25,0.5460730266428802,13789.1005859375,7.97886617143709
2894,2894,huffman-png-small-low-30,1.0001960068834752,3.0,2.5126953125,13.68854,0.250625,0.7324168214876083,12821.9365234375,7.980047500806437
2895,2895,huffman-png-small-low-31,1.0002793175798594,4.0,3.8701171875,17.10784,0.2505,0.9030695640582588,13859.486328125,7.979071973131459
2896,2896,huffman-png-small-low-32,1.0002394114949813,4.0,3.8369140625,17.10783,0.2505,0.8953223293421095,16030.27734375,7.980657167384931
2897,2897,huffman-png-small-low-33,1.000056013427894,4.0,0.8564453125,17.08516,0.2495,0.2009139243112837,15290.8564453125,7.984607183936054
2898,2898,huffman-png-small-low-34,1.0003468964308613,4.0,5.1669921875,17.13051,0.2514999999999999,1.1993046644098562,14900.080078125,7.9726473942240625
2899,2899,huffman-png-small-low-35,1.0000489734652418,3.0,0.685546875,13.68853,0.250625,0.1998278213352379,13999.0185546875,7.980016060079794
2900,2900,huffman-png-small-low-36,1.0000654672433154,4.0,1.0478515625,17.08516,0.2495,0.2458160100182525,16006.7861328125,7.9842661992331525
2901,2901,huffman-png-small-low-37,1.0001884115081696,4.0,2.828125,17.867350000000002,0.284,0.5573398752315428,15013.1904296875,7.980376706942203
