,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
1041,huffman-flv-small-high-30,0.9999357411974712,3.0,-0.7783203125,13.6336,0.2475975,-0.2305693427072045
1042,huffman-flv-small-high-32,1.0001031788750656,3.0,1.3876953125,13.69987,0.25125,0.4031545863490364
1043,huffman-flv-small-high-33,1.0000657469044736,1.0,0.3759765625,6.8386,0.25,0.2199143465036703
1044,huffman-flv-small-high-34,1.0000635577735877,2.0,0.6513671875,10.28057,0.2516666666666666,0.2517578295820393
1045,huffman-flv-small-high-35,1.000055935417514,2.0,0.5791015625,10.28057,0.2516666666666666,0.2238266760751863
1046,huffman-flv-large-low-1,1.0006681831258382,6.0,14.6162109375,24.04846,0.2535714285714285,2.396885091456121
1047,huffman-flv-large-low-2,1.0008331433494309,4.0,11.876953125,17.119169999999997,0.251,2.764067320238864
1048,huffman-flv-large-low-3,1.00053764456722,5.0,9.7255859375,20.53847,0.2508333333333333,1.887828065238379
1049,huffman-flv-large-low-4,1.0003917816263426,7.0,9.513671875,27.47153,0.2532299999999999,1.3675718914892938
1050,huffman-flv-large-low-5,1.0005395296403643,4.0,8.77734375,17.02565,0.246876,2.088240593079009
1051,huffman-flv-large-low-6,1.006293539888142,17.0,294.439453125,59.89745,0.2729535294117647,18.009387987724516
1052,huffman-flv-large-low-7,1.0002411180755806,4.0,3.5966796875,18.84225,0.327,0.5837424113930308
1053,huffman-flv-large-low-8,1.024339171033293,8.0,610.6123046875,30.90973,0.2533333333333333,77.9790612544854
1054,huffman-flv-large-low-9,1.000684250673845,4.0,10.67578125,17.119169999999997,0.251,2.484524251344455
1055,huffman-flv-large-low-10,1.0002722047870054,11.0,9.22265625,40.93713,0.2482641666666666,0.9074539381187496
1056,huffman-flv-large-low-11,1.0167571263093698,10.0,523.8154296875,37.65764,0.2509090909090909,55.438157855444864
1057,huffman-flv-large-low-12,1.0002477602386852,4.0,3.591796875,18.91216,0.330084,0.575368605572686
1058,huffman-flv-large-low-13,1.000333575907418,10.0,11.1435546875,38.56452,0.2690909090909091,1.0738331148936828
1059,huffman-flv-large-low-14,1.0002660465579178,5.0,4.521484375,20.5158,0.25,0.8815614063307305
1060,huffman-flv-large-low-15,1.0006110122437308,9.0,17.4794921875,34.33091,0.253042,2.0121061319574505
1061,huffman-flv-large-low-16,1.0002388899131078,4.0,3.931640625,17.12557,0.251282,0.913623787666786
1062,huffman-flv-large-low-17,1.0004645760412596,3.0,6.373046875,13.69987,0.25125,1.8515037512412469
1063,huffman-flv-large-low-18,1.001193531743481,4.0,17.4443359375,17.119169999999997,0.251,4.059738081025064
1064,huffman-flv-large-low-19,1.0003930573709434,9.0,12.087890625,36.16548,0.2935,1.1388018986976465
1065,huffman-flv-large-low-20,1.0003514271152427,8.0,9.681640625,30.96161,0.2546044444444444,1.2281727054606693
1066,huffman-flv-large-low-21,1.0005222576356667,10.0,16.59375,37.65764,0.2509090909090909,1.756204341790012
1067,huffman-flv-large-low-22,1.002664562595392,6.0,54.7744140625,23.95777,0.2507142857142857,9.119106093894963
1068,huffman-flv-large-low-23,1.0004332061132362,6.0,9.638671875,23.95777,0.2507142857142857,1.604692134763381
1069,huffman-flv-large-low-24,1.0008603351630083,4.0,14.1435546875,17.11917,0.251,3.291562818534736
1070,huffman-flv-large-low-25,1.0003619907575243,7.0,8.6328125,29.08822,0.2977975,0.9965844687156022
1071,huffman-flv-large-low-26,1.0008323367885092,4.0,12.9755859375,17.20986,0.255,2.956714972422444
1072,huffman-flv-large-low-27,1.0439867255397874,4.0,641.0849609375,17.142789999999998,0.252042,148.37514855473893
1073,huffman-flv-large-low-28,1.0032054867180185,7.0,77.32421875,27.3544,0.25,11.307024646857544
1074,huffman-flv-large-low-29,1.0012253650492755,14.0,49.5556640625,50.89375999999999,0.2441819999999999,3.987632401343344
1075,huffman-flv-large-low-30,1.0008069276371194,6.0,17.607421875,24.00958,0.2523471428571428,2.906115127783752
1076,huffman-flv-large-low-31,1.0008126863622908,5.0,15.3564453125,21.6494,0.2916666666666667,2.4319689988109205
1077,huffman-flv-large-low-32,1.0004371361445812,3.0,6.09375,13.83968,0.2589599999999999,1.7003013441079633
1078,huffman-flv-large-low-33,1.0260252555015326,4.0,382.671875,17.21727,0.255326,87.0496867628489
1079,huffman-flv-large-low-34,1.0002366547343031,6.0,5.095703125,23.98044,0.2514285714285714,0.8451471726682628
1080,huffman-flv-large-low-35,1.0013991174590238,8.0,35.4853515625,30.61027,0.2459955555555555,4.71253611204476
1081,huffman-flv-large-low-36,1.000669276883045,5.0,13.119140625,20.56114,0.2516666666666666,2.535318352777448
1082,huffman-flv-large-high-1,0.9999916552615324,32.0,-0.8251953125,113.96918,0.2575669696969696,-0.0281111854533458
1083,huffman-flv-large-high-2,0.9999911672268282,31.0,-0.8251953125,111.3,0.2629734375,-0.0281935461680349
1084,huffman-flv-large-high-3,0.9999872391506844,21.0,-0.8251953125,75.37572,0.251515,-0.0435272658363673
1085,huffman-flv-large-high-4,0.9999900317962108,29.0,-0.8251953125,104.43906999999996,0.2636736666666667,-0.0299658773651241
1086,huffman-flv-large-high-5,0.9999904254792388,28.0,-0.8251953125,100.39437999999996,0.2593893103448276,-0.0316880325730712
1087,huffman-flv-large-high-6,0.999992467261694,36.0,-0.8251953125,129.37677,0.2670627027027027,-0.023882908133012
1088,huffman-flv-large-high-7,0.9999925860824485,37.0,-0.8251953125,130.54174999999995,0.2535307894736842,-0.0249331191891857
1089,huffman-flv-large-high-8,0.9999834392642176,15.0,-0.8017578125,57.49652,0.2884243749999999,-0.048347016694718
1090,huffman-flv-large-high-9,0.9999831104370464,15.0,-0.8017578125,54.82214999999999,0.2515625,-0.0581354762854473
1091,huffman-flv-large-high-10,0.9999831728695991,15.0,-0.8017578125,55.11212,0.255559375,-0.0569251607605925
1092,huffman-flv-large-high-11,0.999988658692581,23.0,-0.8017578125,85.51486,0.2817175,-0.0332803423889014
1093,huffman-flv-large-high-12,0.9999877115026636,21.0,-0.8017578125,75.43242999999998,0.2520831818181818,-0.0421639442235495
1094,huffman-flv-large-high-13,1.000009396533669,19.0,0.5302734375,69.27020999999999,0.25975,0.0294711995101254
1095,huffman-flv-large-high-14,0.9999801889118765,12.0,-0.8017578125,46.27599,0.2809615384615384,-0.0616652660581689
1096,huffman-flv-large-high-15,0.9999889639356202,24.0,-0.8017578125,85.70921,0.252,-0.0371206154044792
1097,huffman-flv-large-high-16,0.99998400279275,16.0,-0.8017578125,59.24724,0.2645182352941177,-0.051158695284286
1098,huffman-flv-large-high-17,0.9999825939116768,14.0,-0.8017578125,52.95117,0.2744306666666666,-0.0551740671618105
1099,huffman-flv-large-high-18,0.999986676387332,19.0,-0.8017578125,68.54469999999999,0.25175,-0.0464622076311675
1100,huffman-flv-large-high-19,1.0000641581946186,19.0,3.83203125,69.46952999999999,0.2619479999999999,0.210581199186944
1101,huffman-flv-large-high-20,1.000067776899786,38.0,7.505859375,134.32380999999995,0.2554915384615385,0.2187111379777461
1102,huffman-flv-large-high-21,0.999988009273082,21.0,-0.8017578125,76.70189999999997,0.2648090909090909,-0.0394733684162911
1103,huffman-flv-large-high-22,0.9999899182191976,26.0,-0.8017578125,92.62337999999995,0.2524692592592593,-0.0342857827937782
1104,huffman-flv-large-high-23,0.9999883085049744,22.0,-0.8017578125,79.64145999999998,0.2595652173913043,-0.0387844370744345
1105,huffman-flv-large-high-24,0.9999764345970082,10.0,-0.8017578125,39.72082,0.2922727272727272,-0.0690616106710878
1106,huffman-flv-large-high-25,0.9999810668067984,13.0,-0.8017578125,48.05156999999999,0.2528571428571428,-0.0659873050715525
1107,huffman-flv-large-high-26,0.9999844642757156,16.0,-0.8017578125,58.14981999999999,0.2502823529411764,-0.0550889629126511
1108,huffman-flv-large-high-27,0.9999838172654284,17.0,-0.8017578125,63.70123,0.2763888888888888,-0.0455380890829291
1109,huffman-flv-large-high-28,0.999988276569798,22.0,-0.8017578125,79.07749999999999,0.2541578260869564,-0.039892089295589
1110,huffman-flv-large-high-29,0.999986464213061,20.0,-0.8017578125,71.91864999999999,0.2511904761904762,-0.0443811452212052
1111,huffman-flv-large-high-30,1.0000030642560882,23.0,0.2109375,84.23028,0.2699133333333333,0.0092781461978444
1112,huffman-flv-large-high-31,0.9999877074642404,20.0,-0.8017578125,71.94131999999999,0.2514285714285714,-0.0443251455705023
